COD MUN ;MUPIO
1020;Río Bravo
1021;San José La Máquina
1101;Retalhuleu
1102;San Sebastián
1103;Santa Cruz Muluá
1104;San Martín Zapotitlán
1105;San Felipe
1106;San Andrés Villa Seca
1107;Champerico
1108;Nuevo San Carlos
1109;El Asintal
1201;San Marcos
1202;San Pedro Sacatepéquez
1203;San Antonio Sacatepéquez
1204;Comitancillo
1205;San Miguel Ixtahuacán
1206;Concepción Tutuapa
1207;Tacaná
1208;Sibinal
1209;Tajumulco
1210;Tejutla
1211;San Rafael Pie de la Cuesta
1212;Nuevo Progreso
1213;El Tumbador
1214;San José el Rodeo
1215;Malacatán
1216;Catarina
1217;Ayutla
1218;Ocós
1219;San Pablo
1220;El Quetzal
1221;La Reforma
1222;Pajapita
1223;Ixchiguán
1224;San José Ojetenam
1225;San Cristóbal Cucho
1226;Sipacapa
1227;Esquipulas Palo Gordo
1228;Río Blanco
1229;San Lorenzo
1230;La Blanca
1301;Huehuetenango
1302;Chiantla
1303;Malacatancito
1304;Cuilco
1305;Nentón
1306;San Pedro Necta
1307;Jacaltenango
1308;San Pedro Soloma
1309;San Ildefonso Ixtahuacán
1310;Santa Bárbara
1311;La Libertad
1312;La Democracia
1313;San Miguel Acatán
1314;San Rafael La Independencia
1315;Todos Santos Cuchumatán
1316;San Juan Atitán
1317;Santa Eulalia
1318;San Mateo Ixtatán
1319;Colotenango
1320;San Sebastián Huehuetenango
1321;Tectitán
1322;Concepción Huista
1323;San Juan Ixcoy
1324;San Antonio Huista
1325;San Sebastián Coatán
1326;Santa Cruz Barillas
1327;Aguacatán
1328;San Rafael Petzal
1329;San Gaspar Ixchil
1330;Santiago Chimaltenango
1331;Santa Ana Huista
1332;Unión Cantinil
1333;Petatán
1401;Santa Cruz del Quiché
1402;Chiché
1403;Chinique
1404;Zacualpa
1405;Chajul
1406;Santo Tomás Chichicastenango
1407;Patzité
1408;San Antonio Ilotenango
1409;San Pedro Jocopilas
1410;Cunén
1411;San Juan Cotzal
1412;Joyabaj
1413;Santa María Nebaj
1414;San Andrés Sajcabajá
1415;San Miguel Uspantán
1416;Sacapulas
1417;San Bartolomé Jocotenango
1418;Canillá
1419;Chicamán
1420;Playa Grande Ixcán
1421;Pachalum
1501;Salamá
1502;San Miguel Chicaj
1503;Rabinal
1504;Cubulco
1505;Granados
1506;Santa Cruz El Chol
1507;San Jerónimo
1508;Purulhá
1601;Cobán
1602;Santa Cruz Verapaz
1603;San Cristóbal Verapaz
1604;Tactic
1605;Tamahú
1606;San Miguel Tucurú
1607;Panzós
1608;Senahú
1609;San Pedro Carchá
1610;San Juan Chamelco
1611;San Agustín Lanquín
1612;Santa María Cahabón
1613;Chisec
1614;Chahal
1615;Fray Bartolomé de Las Casas
1616;Santa Catalina La Tinta
1617;Raxruhá
1701;Flores
1702;San José
1703;San Benito
1704;San Andrés
1705;La Libertad
1706;San Francisco
1707;Santa Ana
1708;Dolores
1709;San Luis
1710;Sayaxché
1711;Melchor de Mencos
1712;Poptún
1713;Las Cruces
1714;El Chal
1801;Puerto Barrios
1802;Livingston
1803;El Estor
1804;Morales
1805;Los Amates
1901;Zacapa
1902;Estanzuela
1903;Río Hondo
1904;Gualán
1905;Teculután
1906;Usumatlán
1907;Cabañas
1908;San Diego
1909;La Unión
1910;Huité
1911;San Jorge
2001;Chiquimula
2002;San José La Arada
2003;San Juan Ermita
2004;Jocotán
2005;Camotán
2006;Olopa
2007;Esquipulas
2008;Concepción Las Minas
2009;Quezaltepeque
2010;San Jacinto
2011;Ipala
2101;Jalapa
2102;San Pedro Pinula
2103;San Luis Jilotepeque
2104;San Manuel Chaparrón
2105;San Carlos Alzatate
2106;Monjas
2107;Mataquescuintla
2201;Jutiapa
2202;El Progreso
2203;Santa Catarina Mita
2204;Agua Blanca
2205;Asunción Mita
2206;Yupiltepeque
2207;Atescatempa
2208;Jerez
2209;El Adelanto
2210;Zapotitlán
2211;Comapa
2212;Jalpatagua
2213;Conguaco
2214;Moyuta
2215;Pasaco
2216;San José Acatempa
2217;Quesada
